Date,Open,High,Low,Close,Adj Close,Volume
2016-05-09,8.767900,8.930090,8.357650,8.395810,8.395810,28220
2016-05-10,8.357650,8.395810,8.281320,8.281320,8.281320,9959
2016-05-11,8.395810,8.558000,8.252700,8.300400,8.300400,32284
2016-05-12,8.395810,8.395810,8.071430,8.290860,8.290860,32854
2016-05-13,8.109590,8.109590,7.632560,7.966480,7.966480,73267
2016-05-16,7.956940,7.956940,7.632560,7.699340,7.699340,24611
2016-05-17,7.651640,7.651640,7.413120,7.556230,7.556230,34388
2016-05-18,7.422660,7.976020,7.413120,7.804290,7.804290,35037
2016-05-19,7.880610,7.880610,7.651640,7.804290,7.804290,7917
2016-05-20,7.804290,7.804290,7.632560,7.756590,7.756590,11725
2016-05-23,7.804290,7.804290,7.479900,7.661180,7.661180,18486
2016-05-24,7.527610,7.823370,7.441740,7.823370,7.823370,30832
2016-05-25,7.823370,7.851990,7.518070,7.766130,7.766130,20627
2016-05-26,7.775670,7.804290,7.613470,7.756590,7.756590,11859
2016-05-27,7.766130,7.785210,7.603930,7.603930,7.603930,21355
2016-05-30,7.594390,7.594390,7.413120,7.489450,7.489450,33884
2016-05-31,7.498990,7.498990,7.222310,7.317710,7.317710,35730
2016-06-01,7.231850,7.527610,7.231850,7.432200,7.432200,20330
2016-06-02,7.489450,8.080970,7.413120,8.080970,8.080970,117758
2016-06-03,8.071430,8.157290,7.699340,7.766130,7.766130,47751
2016-06-06,7.727960,7.966480,7.727960,7.918780,7.918780,16667
2016-06-07,8.014180,8.061890,7.918780,8.052350,8.052350,22090
2016-06-08,8.080970,8.777440,8.080970,8.386270,8.386270,83454
2016-06-09,8.376730,8.443510,7.813830,7.871070,7.871070,48964
2016-06-10,7.880610,7.880610,7.184140,7.346330,7.346330,68939
2016-06-13,7.270010,7.470360,7.222310,7.346330,7.346330,30268
2016-06-14,7.451280,7.451280,6.917000,6.917000,6.917000,43469
2016-06-15,6.964710,7.556230,6.964710,7.145980,7.145980,44783
2016-06-16,7.098280,7.098280,6.678490,6.850220,6.850220,48118
2016-06-17,6.869300,7.012410,6.716650,6.726190,6.726190,27331
2016-06-20,6.869300,7.212770,6.821600,7.079200,7.079200,28734
2016-06-21,7.145980,7.203220,6.936090,6.945630,6.945630,35533
2016-06-22,6.869300,6.917000,6.773890,6.792970,6.792970,22201
2016-06-23,6.850220,6.983790,6.707110,6.964710,6.964710,27319
2016-06-24,6.344560,6.716650,6.296860,6.716650,6.716650,98828
2016-06-27,6.678490,6.764350,6.354100,6.382720,6.382720,21004
2016-06-28,6.392260,6.621240,6.392260,6.564000,6.564000,7340
2016-06-29,6.640320,7.041030,6.640320,6.869300,6.869300,16619
2016-06-30,7.460820,7.460820,7.002870,7.184140,7.184140,29626
2016-07-01,7.231850,7.432200,7.155520,7.394040,7.394040,15151
2016-07-04,7.565770,7.575310,7.403580,7.432200,7.432200,15165
2016-07-05,7.508530,7.508530,6.993330,7.117360,7.117360,35362
2016-07-06,7.155520,7.155520,6.859760,6.869300,6.869300,12893
2016-07-07,6.897920,7.079200,6.888380,7.079200,7.079200,15651
2016-07-08,7.041030,7.107820,7.002870,7.107820,7.107820,3553
2016-07-11,7.155520,7.298630,7.079200,7.298630,7.298630,8620
2016-07-12,7.298630,7.298630,7.069650,7.126900,7.126900,10040
2016-07-13,7.126900,7.241390,7.012410,7.088740,7.088740,15920
2016-07-14,7.088740,7.088740,6.926540,6.964710,6.964710,6364
2016-07-15,6.869300,6.955170,6.716650,6.840680,6.840680,12454
2016-07-18,6.840680,6.888380,6.745270,6.821600,6.821600,8062
2016-07-19,6.897920,7.031490,6.869300,7.031490,7.031490,5698
2016-07-20,7.031490,7.060110,6.964710,7.012410,7.012410,4343
2016-07-21,7.012410,7.041030,6.821600,6.869300,6.869300,11654
2016-07-22,6.878840,6.964710,6.726190,6.726190,6.726190,33183
2016-07-25,6.726190,6.773890,6.621240,6.764350,6.764350,16706
2016-07-26,6.869300,6.869300,6.783430,6.869300,6.869300,4212
2016-07-27,6.812060,7.346330,6.812060,7.174600,7.174600,33982
2016-07-28,7.174600,7.365420,6.993330,7.079200,7.079200,17262
2016-07-29,7.145980,7.145980,6.783430,6.831140,6.831140,22841
2016-08-01,6.850220,6.974250,6.649860,6.754810,6.754810,18460
2016-08-02,6.754810,6.754810,6.439970,6.564000,6.564000,18094
2016-08-03,6.554460,6.678490,6.554460,6.678490,6.678490,9635
2016-08-04,6.726190,6.964710,6.726190,6.821600,6.821600,6676
2016-08-05,6.821600,6.869300,6.678490,6.678490,6.678490,8935
2016-08-08,6.726190,6.821600,6.716650,6.754810,6.754810,6524
2016-08-09,6.745270,6.773890,6.621240,6.754810,6.754810,17494
2016-08-10,6.764350,7.012410,6.707110,6.926540,6.926540,16570
2016-08-11,6.936090,7.031490,6.878840,6.926540,6.926540,8266
2016-08-12,7.136440,7.432200,6.983790,7.212770,7.212770,48851
2016-08-15,7.279550,7.498990,7.088740,7.155520,7.155520,22972
2016-08-16,7.165060,7.165060,6.850220,7.069650,7.069650,24430
2016-08-17,7.069650,7.107820,6.983790,7.050570,7.050570,11223
2016-08-18,7.050570,7.136440,7.050570,7.098280,7.098280,4299
2016-08-19,7.060110,7.136440,6.878840,6.917000,6.917000,20875
